postNumber,count
1102,17255
1018,15297
1013,14865
1019,12402
1055,12083
1062,11906
1069,11698
1054,11575
1053,11411
1087,11332
1015,11168
1017,10789
1068,10700
1033,10607
1095,10546
1056,10512
1066,10122
1091,9883
1072,9775
1057,9763
1097,9550
1016,9379
1064,9294
1012,9206
1079,9122
1073,9028
1058,8948
1025,8745
1067,8552
1031,8539
1106,8537
1051,8474
1098,8473
1061,8419
1078,8249
1071,8129
1082,7862
1052,7832
1011,7482
1101,7403
1104,7349
1094,7189
1076,6867
1103,6833
1096,6787
1075,6738
1034,6696
1024,6670
1063,6320
1065,6287
1382,6232
1093,6117
1077,5893
1107,5557
1074,5490
1083,5380
1092,5126
1035,4686
1032,4648
1059,4530
1022,4484
1081,4181
1014,4098
1021,3989
1043,3937
1060,3902
1105,3179
1381,2875
1384,2682
1023,2364
1086,2247
1108,1721
1383,1572
1036,1232
1046,1213
1109,708
1028,321
1047,271
1027,250
1026,247
1042,216
1045,161
1041,139
1044,41
1037,4
