postcode,fclass,name,geometry
1383,pitch,,POINT (131239.97709676198 478822.6771147272)
1383,playground,,POINT (131247.97851986336 478825.40918666817)
1383,bench,,POINT (131222.14812804156 478834.69037273113)
1107,bench,,POINT (127247.75706636498 477999.425859474)
1107,bench,,POINT (127272.90066484438 478027.59078988933)
1107,bench,,POINT (128077.02135475562 478049.5530990064)
1107,bench,,POINT (128072.2047926632 478050.881113276)
1107,bench,,POINT (127457.13959719185 478164.68650002487)
1107,drinking_water,,POINT (127949.43874178677 478268.96306441975)
1107,bench,,POINT (127970.76950337157 478300.7907400468)
1107,bench,,POINT (127965.71072375582 478301.4414657144)
1107,camera_surveillance,,POINT (127858.83944319705 478487.47247657506)
1107,bench,,POINT (128057.87637929857 478555.71393155004)
1107,viewpoint,Panoramaheuvel Gein,POINT (128195.91026747433 478045.7587956796)
1107,bench,,POINT (128195.52227759545 478045.92779536196)
1107,bench,,POINT (128302.52527120114 478565.4585087514)
1107,bench,,POINT (128302.91271479515 478570.25195078563)
1107,bench,,POINT (128587.73853031194 478602.20279342175)
1107,playground,,POINT (128203.42906139666 478656.66436611547)
1107,bench,,POINT (128651.02212872673 478708.80233928084)
1106,bench,,POINT (128745.47230296572 478814.1801656215)
1106,viewpoint,,POINT (128748.78132586877 478816.8329703776)
1106,bench,,POINT (128746.06244514431 478817.4037256064)
1107,doctors,Gezondheidscentrum Reigersbos,POINT (127014.32614571553 478482.5644192339)
1107,pharmacy,Apotheek Reigersbos,POINT (127003.84434082494 478497.75582783297)
1107,drinking_water,,POINT (127002.80896457698 478525.767204158)
1107,shelter,,POINT (126753.11135320539 478569.48978334037)
1107,bench,,POINT (127218.57517944026 478576.5451513282)
1107,bench,,POINT (127201.77460047917 478576.98445141007)
1107,bench,,POINT (127229.33273478891 478582.43745172134)
1107,supermarket,Jumbo,POINT (126956.00293915678 478585.0030213036)
1107,restaurant,,POINT (126997.9977528317 478639.99732042575)
1107,restaurant,Lucky Garden,POINT (127014.00523127576 478640.49644309614)
1107,hairdresser,Kapper Loes de Kort,POINT (126990.13529596844 478643.01262067497)
1107,comms_tower,,POINT (126950.00641930202 478650.00493917667)
1107,comms_tower,,POINT (126950.00641930202 478650.00493917667)
1107,comms_tower,,POINT (126950.00641930202 478650.00493917667)
1107,butcher,,POINT (126984.09408987564 478683.32493932167)
1107,bakery,,POINT (126971.96023196215 478715.0820882349)
1107,chemist,Etos,POINT (126944.0136583586 478716.84273240296)
1107,comms_tower,,POINT (126980.00393291561 478719.99896172265)
1107,comms_tower,,POINT (126980.00393291561 478719.99896172265)
1107,comms_tower,,POINT (126980.00393291561 478719.99896172265)
1107,drinking_water,,POINT (127799.51502642392 478675.24702719616)
1107,comms_tower,,POINT (127930.00617091323 478710.0026410285)
1107,artwork,Geinreiger,POINT (127388.0191049913 478739.3346946866)
1107,veterinary,Dierenartspraktijk Gein,POINT (127782.34172871799 478739.3190735602)
1107,fast_food,Ali Snacks,POINT (127892.77586573802 478759.3079139243)
1106,newsagent,Primera Vlaskamp,POINT (127707.00289011409 478792.9969094692)
1106,atm,Geldmaat,POINT (127709.06031789069 478794.96608251764)
1106,recycling_clothes,,POINT (127702.8598714727 478802.4995820518)
1106,recycling_paper,,POINT (127705.03659468377 478802.5988363544)
1106,recycling_paper,,POINT (127704.93831450256 478804.56877629866)
1106,newsagent,Cigo van Vuure,POINT (126962.00258450763 478741.9980113998)
1106,chemist,Kruidvat,POINT (126933.63823573577 478754.2645484104)
1106,atm,Geldmaat,POINT (126931.812312587 478766.7032672684)
1106,atm,Geldmaat,POINT (126930.32628732065 478777.72698624217)
1106,library,OBA Reigersbos,POINT (126980.00272454994 478780.0044592369)
1106,beverages,Gall & Gall,POINT (126917.99720977286 478781.00140880555)
1106,comms_tower,,POINT (126978.00154426356 478781.9963212507)
1106,comms_tower,,POINT (126978.00154426356 478781.9963212507)
1106,comms_tower,,POINT (126978.00154426356 478781.9963212507)
1106,sports_centre,Sporthal Gaasperdam,POINT (127103.00043435988 478832.99489242584)
1106,recycling_glass,,POINT (127702.85094905292 478804.5914208961)
1106,supermarket,Jumbo,POINT (127737.00035361575 478848.99826948246)
1106,comms_tower,,POINT (127620.00673754847 478923.00174784096)
1106,drinking_water,,POINT (127498.31186189625 478923.7769806984)
1106,comms_tower,,POINT (127610.00394273942 478930.00008834596)
1106,comms_tower,,POINT (127610.00394273942 478930.00008834596)
1106,comms_tower,,POINT (127610.00394273942 478930.00008834596)
1106,playground,,POINT (127631.73123135918 478969.4903268676)
1106,playground,,POINT (127905.92608036888 479019.1629467866)
1106,bench,,POINT (127331.57342188504 479096.5341330797)
1106,atm,Geldmaat,POINT (126933.46118526731 478852.91357191)
1106,atm,Geldmaat,POINT (126932.91608924829 478853.0279302824)
1106,supermarket,Vomar,POINT (126893.00034074503 478859.9972646264)
1106,restaurant,Yemaya's Vegan Corner,POINT (126928.57487041353 478869.4085988438)
1106,police,Politiebureau Zuidoost Gaasperdam,POINT (126818.00076354596 478896.99697637354)
1106,drinking_water,,POINT (127221.89799552583 478899.7749360081)
1106,artwork,Cirkelconstructie,POINT (126732.05884656953 479041.1757486686)
1106,waste_basket,,POINT (127103.23920223211 479170.46192971076)
1106,recycling,,POINT (127155.27994685147 479215.38702071673)
1106,recycling_glass,,POINT (127156.83516136676 479216.5910605541)
1383,pitch,,POINT (131410.11799664624 478799.5542710322)
1383,playground,,POINT (131403.47211084806 478817.8445283279)
1383,pitch,,POINT (131633.0180998809 478832.24302683177)
1383,post_box,,POINT (131498.7040422524 478990.1187705543)
1383,comms_tower,,POINT (131279.00675965872 478927.00091734)
1383,tourist_info,,POINT (130537.97842978468 478931.1104660781)
1383,bench,,POINT (130537.79904447123 478943.11684654985)
1383,waste_basket,,POINT (130536.75503368277 478945.81462236575)
1383,bench,,POINT (130535.65518686798 478948.2567650543)
1383,sports_centre,,POINT (130436.70740829073 478996.30177052855)
1383,waste_basket,,POINT (130845.09872682282 479021.18348474614)
1383,bench,,POINT (130851.2242997995 479021.15357734123)
1383,swimming_pool,Victoriabad,POINT (130422.95818351599 479032.6090828225)
1383,sports_centre,Golfvereniging Weesp,POINT (130416.15460193748 479135.0401112578)
1383,supermarket,SPAR,POINT (131512.47138808528 478994.73763526557)
1383,fast_food,Foodmaster,POINT (131508.43055605484 479031.5632440692)
1383,bar,Olympus Bar,POINT (131516.74768674184 479037.6767020247)
1383,dentist,Tandheelkundig Centrum Weesp Vestiging Aetsveld,POINT (131541.67947817058 479047.5945010205)
1383,playground,,POINT (131399.65807480103 479066.5063456779)
1383,school,De Hobbedob,POINT (131496.5872686039 479090.17821081507)
1383,school,De Terp,POINT (131508.14473740308 479107.8366820221)
1383,playground,,POINT (131473.75106759876 479205.3124274161)
1383,playground,,POINT (131337.9930759697 479219.26725553814)
1383,tourist_info,,POINT (131828.25797016043 479227.1270840152)
1383,playground,,POINT (131744.11961657018 479304.3058419967)
1383,playground,,POINT (131519.25550699295 479370.5360355191)
1381,fire_station,Brandweerkazerne Weesp,POINT (131657.44490745504 479454.8661247297)
1381,police,Politiebureau Weesp,POINT (131656.9266206718 479465.00480695575)
1381,comms_tower,,POINT (131652.8320977132 479468.91840526595)
1381,comms_tower,,POINT (131652.8343559917 479469.3968338708)
1381,bench,,POINT (131678.2201130501 479480.63722384674)
1381,bench,,POINT (131690.47923235892 479485.4083348399)
1381,bench,,POINT (131676.3780993428 479486.3426745899)
1381,artwork,De Worstelaars,POINT (131749.55841154768 479486.1984143866)
1381,bench,,POINT (131688.91528198397 479490.7786756547)
1381,playground,,POINT (131669.21480876586 479543.8893114791)
1381,bench,,POINT (132013.15890857662 479602.50659803173)
1381,bench,,POINT (131655.6602266845 479605.67194283626)
1381,bench,,POINT (132006.3850551331 479609.6479126108)
1381,attraction,De Vriendschap,POINT (131982.05400900537 479618.08370069915)
1381,windmill,De Vriendschap,POINT (131982.05400900537 479618.08370069915)
1381,waste_basket,,POINT (131659.125593886 479650.5732585725)
1381,bench,,POINT (131658.46711077608 479652.67927421135)
1381,playground,,POINT (131564.0516601585 479653.21476151893)
1381,pitch,,POINT (132062.2769213666 479270.56457155256)
1381,pitch,,POINT (132172.90173247017 479320.689455669)
1381,windmill,De Eendragt,POINT (132044.8280895039 479571.79504561966)
1381,bench,,POINT (132189.6001670729 479589.97354601097)
1381,waste_basket,,POINT (132187.21466798036 479591.83154524193)
1381,bench,,POINT (132023.00930347663 479777.5028276354)
1381,bench,,POINT (132067.33016238033 479786.66563358385)
1381,bench,,POINT (132039.30496629904 479858.65057040047)
1381,bench,,POINT (132049.60546634923 479860.5053919549)
1381,community_centre,We HaVe,POINT (132100.6809160482 479892.46872442524)
1381,bench,,POINT (131639.23260086306 479662.71717432974)
1381,waste_basket,,POINT (131638.13551621407 479664.38020446216)
1381,playground,,POINT (131773.1343616152 479727.9554077161)
1381,waste_basket,,POINT (131984.10292242529 479750.5795846507)
1381,comms_tower,,POINT (131360.00449015762 479759.99887201766)
1381,bicycle_shop,Van der Linden Tweewielers,POINT (131303.6285965914 479783.24489196716)
1381,hairdresser,Haarmode 't Hoekje,POINT (131383.2583175961 479816.2880289228)
1381,recycling_glass,,POINT (131771.77881492238 479821.26859254926)
1381,bench,,POINT (131755.10410998383 479834.5763432318)
1381,bench,,POINT (131742.72151727398 479846.8625804966)
1381,restaurant,Khaza Ghar,POINT (131459.16293528414 479850.7409864586)
1381,department_store,HEMA,POINT (131400.55091945073 479852.6225351996)
1381,library,OBA Weesp,POINT (131541.02223301114 479853.9013807532)
1381,hairdresser,Knippen bij Daan,POINT (131406.2747955664 479857.2461050745)
1381,supermarket,Vomar,POINT (131334.01496819884 479860.47311811725)
1381,bench,,POINT (131729.61048203337 479859.4193128166)
1381,dentist,Mulder,POINT (131412.36657977535 479861.7900413259)
1381,cafe,Lunchroom 't Hoekje,POINT (131429.7974896441 479875.70408194)
1381,waste_basket,,POINT (131703.9769764713 479874.7832958991)
1381,greengrocer,,POINT (131424.35089044197 479880.59232540167)
1381,bench,,POINT (131705.74787743995 479881.5176146589)
1381,beverages,Gall & Gall,POINT (131309.86981383924 479885.8681400372)
1381,bench,,POINT (131805.8538482657 479885.33083107043)
1381,restaurant,De Eendracht,POINT (131487.10609395924 479888.07100088795)
1381,bakery,Bakkerij Cor Mühl,POINT (131414.36801643207 479889.607886862)
1381,chemist,Care & Beauty Drogisterij Weesp,POINT (131409.43680682962 479893.8706048718)
1381,town_hall,Stadsloket Weesp,POINT (131508.99554904425 479894.4648602267)
1381,dentist,Tandartsen Weespersluis,POINT (131406.74205388388 479896.5760739661)
1381,bench,,POINT (131688.5374846635 479898.29958542966)
1381,artwork,Waterkant,POINT (131449.12227731716 479903.50617034297)
1105,bench,,POINT (126385.78935001051 477384.8767560185)
