postcode,Price
1011,9750
1012,10500
1013,9500
1014,7500
1015,11250
1016,11333
1017,11125
1018,9375
1019,8700
1021,6950
1022,6975
1023,6500
1024,5700
1025,6625
1026,6400
1027,6400
1028,6400
1029,7400
1031,7400
1032,6700
1033,6000
1034,6150
1035,6300
1041,6000
1042,6000
1043,6000
1051,8375
1052,9000
1053,9250
1054,9812
1055,7833
1056,8400
1057,8250
1058,8500
1059,8250
1060,6000
1061,6500
1062,6900
1063,7417
1064,6000
1065,6500
1066,6400
1067,5567
1068,5850
1069,5733
1071,11500
1072,9750
1073,9350
1074,9150
1075,9967
1076,9150
1077,10417
1078,8850
1079,8500
1081,8750
1082,8750
1083,7300
1086,6300
1087,6100
1091,8875
1092,8300
1093,8300
1094,8000
1095,7500
1096,8150
1097,7500
1098,8600
1102,4800
1103,4600
1104,4950
1105,5300
1106,4600
1107,4600
1108,5500
1109,5500
